published_at,title,description,url,sentiment,sentiment_score
2021-10-21T14:40:39+00:00,Exclusive: Industrialist Nikhil Merchant leads race for acquiring Reliance Naval,Low-profile Gujarat businessman wants to add Pipavav shipyard facility to his adjacent LNG port.,https://www.businesstoday.in/latest/corporate/story/exclusive-industrialist-nikhil-merchant-leads-race-for-acquiring-reliance-naval-310061-2021-10-21?utm_source=rssfeed,neutral,0.7113357186317444
2021-10-21T13:52:13+00:00,India’s Reliance gets shareholders’ nod to add Aramco chairman as director,"BENGALURU &#8212; India&#8217;s Reliance Industries Ltd said on Thursday that a required majority of its shareholders have passed a resolution to appoint Saudi Aramco Chairman Yasir Al-Rumayyan as an independent director to the conglomerate&#8217;s board. A little over 98% of the total votes polled on the resolution were in favor of Al-Rumayyan&#8217;s addition, Reliance said [&#8230;]",https://financialpost.com/pmn/business-pmn/indias-reliance-gets-shareholders-nod-to-add-aramco-chairman-as-director,neutral,0.8001759052276611
2021-10-21T12:45:52+00:00,Rogers misses quarterly revenue estimates,"Rogers Communications Inc reported third-quarter revenue on Thursday that missed analysts&#8217; estimates as the pandemic continues to dampen growth at its ads and wireless businesses. Pandemic-related restrictions in July kept most people indoors, hurting the company given its reliance on professional sports and wireless roaming as key revenue streams. Rogers also faces additional pressure to [&#8230;]",https://torontosun.com/business/money-news/rogers-misses-quarterly-revenue-estimates,negative,0.973185122013092
2021-10-21T12:40:35+00:00,Exclusive: Tycoon Nikhil Merchant leads race for acquiring Reliance Naval,Low-profile Gujarat businessman wants to add Pipavav shipyard facility to his adjacent LNG port.,https://www.businesstoday.in/latest/corporate/story/exclusive-tycoon-nikhil-merchant-leads-race-for-acquiring-reliance-naval-310061-2021-10-21?utm_source=rssfeed,neutral,0.619371235370636
2021-10-21T11:43:53+00:00,BP to Open Fuel Station in India Amid Record Prices,"BP and Reliance Industries signed a $6 billion agreement in 2017 to develop new gas fields and expand business activities in India, including selling gasoline and diesel in fuel stations across the country.",https://sputniknews.com/20211021/bp-to-open-fuel-station-in-india-amid-record-prices-1090097665.html,positive,0.9299615621566772
2021-10-21T11:40:35+00:00,Jio-bp’s first petrol pump set to open near Mumbai,"In 2019, BP had bought a 49 per cent stake in over 1,400 petrol pumps and 31 aviation turbine fuel (ATF) stations owned by Reliance for $1 billion.",https://www.businesstoday.in/latest/economy/story/jio-bps-first-petrol-pump-set-to-open-near-mumbai-310044-2021-10-21?utm_source=rssfeed,neutral,0.5861389636993408
2021-10-21T10:44:35+00:00,PetroChina : Resolutions Passed At The First Extraordinary General Meeting of 2021 And Appointment of Directors,"(marketscreener.com) Hong Kong Exchanges and Clearing Limited and The Stock Exchange of Hong Kong Limited take no responsibility for the contents of this announcement, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of...https://www.marketscreener.com/quote/stock/PETROCHINA-COMPANY-LIMITE-1412714/news/PetroChina-Resolutions-Passed-At-The-First-Extraordinary-General-Meeting-of-2021-And-Appointment-o-36739625/?utm_medium=RSS&utm_content=20211021",https://www.marketscreener.com/quote/stock/PETROCHINA-COMPANY-LIMITE-1412714/news/PetroChina-Resolutions-Passed-At-The-First-Extraordinary-General-Meeting-of-2021-And-Appointment-o-36739625/?utm_medium=RSS&utm_content=20211021,neutral,0.9248684048652648
2021-10-21T10:24:13+00:00,China Merchants Port : Interim Dividend for the Six Months Ended 30 June 2021,"(marketscreener.com) Hong Kong Exchanges and Clearing Limited and The Stock Exchange of Hong Kong Limited take no responsibility for the contents of this announcement, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or...https://www.marketscreener.com/quote/stock/CHINA-MERCHANTS-PORT-HOLD-1412600/news/China-Merchants-Port-Interim-Dividend-for-the-Six-Months-Ended-30-June-2021-36739361/?utm_medium=RSS&utm_content=20211021",https://www.marketscreener.com/quote/stock/CHINA-MERCHANTS-PORT-HOLD-1412600/news/China-Merchants-Port-Interim-Dividend-for-the-Six-Months-Ended-30-June-2021-36739361/?utm_medium=RSS&utm_content=20211021,neutral,0.8988862633705139
2021-10-21T09:24:12+00:00,Emperor International : Profit Alert,"(marketscreener.com) Hong Kong Exchanges and Clearing Limited and The Stock Exchange of Hong Kong Limited take no responsibility for the contents of this announcement, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or...https://www.marketscreener.com/quote/stock/EMPEROR-INTERNATIONAL-HOL-1412753/news/Emperor-International-Profit-Alert-36738697/?utm_medium=RSS&utm_content=20211021",https://www.marketscreener.com/quote/stock/EMPEROR-INTERNATIONAL-HOL-1412753/news/Emperor-International-Profit-Alert-36738697/?utm_medium=RSS&utm_content=20211021,neutral,0.8935081362724304
2021-10-21T08:46:00+00:00,"Reliance Q2FY22 preview: Retail growth to drive earnings, EBITDA may rise 25%; RIL stock eyes Rs 3000",Mukesh Ambani's Reliance Industries Ltd (RIL) is likely to post strong growth in net profit led by a rise in EBITDA in the July-September quarter of FY22.,https://www.financialexpress.com/market/reliance-q2fy22-preview-retail-growth-to-drive-earnings-ebitda-may-rise-25-mukesh-ambanis-ril-stock-eyes-rs-3000/2354026/,positive,0.9538223147392272
